"","id","partner","age","age_o","goal","date","go_out","int_corr","length","met","like","prob","match"
"1",1,1,21,27,"2",7,"1",0.14,"2","1",7,6,"0"
"2",1,2,21,22,"2",7,"1",0.54,"2","1",7,5,"0"
"3",1,3,21,22,"2",7,"1",0.16,"2","1",7,NA,"1"
"4",1,4,21,23,"2",7,"1",0.61,"2","1",7,6,"1"
"5",1,5,21,24,"2",7,"1",0.21,"2","1",6,6,"1"
"6",1,6,21,25,"2",7,"1",0.25,"2","1",6,5,"0"
"7",1,7,21,30,"2",7,"1",0.34,"2","1",6,5,"0"
"8",1,8,21,27,"2",7,"1",0.5,"2",NA,6,7,"0"
"9",1,9,21,28,"2",7,"1",0.28,"2","1",7,7,"1"
"10",1,10,21,24,"2",7,"1",-0.36,"2","1",6,6,"0"
"11",2,1,24,27,"1",5,"1",0.29,"2","1",6,4,"0"
"12",2,2,24,22,"1",5,"1",0.18,"2","1",7,3,"0"
"13",2,3,24,22,"1",5,"1",0.1,"2","1",6,7,"0"
"14",2,4,24,23,"1",5,"1",-0.21,"2","1",7,8,"1"
"15",2,5,24,24,"1",5,"1",0.32,"2","1",8,6,"0"
"16",2,6,24,25,"1",5,"1",0.73,"2","1",6,5,"0"
"17",2,7,24,30,"1",5,"1",0.6,"2","1",8,7,"0"
"18",2,8,24,27,"1",5,"1",0.07,"2","1",5,6,"0"
"19",2,9,24,28,"1",5,"1",0.11,"2","1",5,6,"1"
"20",2,10,24,24,"1",5,"1",0.39,"2","1",8,7,"0"
"21",3,1,25,27,"6",3,"1",-0.24,NA,"1",8,7,"0"
"22",3,2,25,22,"6",3,"1",-0.14,NA,"1",8,7,"0"
"23",3,3,25,22,"6",3,"1",0.09,NA,"1",8,7,"0"
"24",3,4,25,23,"6",3,"1",-0.04,NA,"1",8,7,"0"
"25",3,5,25,24,"6",3,"1",-0.14,NA,"1",9,NA,"0"
"26",3,6,25,25,"6",3,"1",-0.3,NA,"1",8,NA,"0"
"27",3,7,25,30,"6",3,"1",-0.26,NA,"1",8,7,"0"
"28",3,8,25,27,"6",3,"1",0.29,NA,"1",8,7,"0"
"29",3,9,25,28,"6",3,"1",-0.15,NA,"1",9,7,"0"
"30",3,10,25,24,"6",3,"1",-0.47,NA,"1",8,7,"0"
"31",4,1,23,27,"1",5,"1",-0.18,"3","1",6,7,"0"
"32",4,2,23,22,"1",5,"1",-0.18,"3","1",8,1,"0"
"33",4,3,23,22,"1",5,"1",0.05,"3","1",4,1,"0"
"34",4,4,23,23,"1",5,"1",-0.18,"3","1",8,10,"1"
"35",4,5,23,24,"1",5,"1",0.21,"3","1",7,7,"0"
"36",4,6,23,25,"1",5,"1",0.37,"3","1",4,3,"0"
"37",4,7,23,30,"1",5,"1",0.35,"3","1",5,1,"0"
"38",4,8,23,27,"1",5,"1",0.15,"3","1",6,6,"0"
"39",4,9,23,28,"1",5,"1",-0.47,"3","1",8,8,"1"
"40",4,10,23,24,"1",5,"1",-0.19,"3","1",10,8,"0"
"41",5,1,21,27,"2",4,"1",-0.43,"2","1",7,5,"0"
"42",5,2,21,22,"2",4,"1",0,"2","1",6,4,"0"
"43",5,3,21,22,"2",4,"1",-0.17,"2","1",6,5,"0"
"44",5,4,21,23,"2",4,"1",0.08,"2","1",8,2,"1"
"45",5,5,21,24,"2",4,"1",-0.16,"2","1",7,4,"0"
"46",5,6,21,25,"2",4,"1",0.06,"2","1",7,3,"0"
"47",5,7,21,30,"2",4,"1",-0.05,"2","1",6,3,"0"
"48",5,8,21,27,"2",4,"1",0.07,"2","1",6,4,"0"
"49",5,9,21,28,"2",4,"1",-0.13,"2","1",9,4,"1"
"50",5,10,21,24,"2",4,"1",-0.06,"2","1",10,3,"0"
"51",6,1,23,27,"1",3,"1",0.33,"3","1",6,6,"0"
"52",6,2,23,22,"1",3,"1",0.37,"3","1",7,6,"0"
"53",6,3,23,22,"1",3,"1",-0.51,"3","1",6,2,"0"
"54",6,4,23,23,"1",3,"1",0.12,"3","1",9,4,"1"
"55",6,5,23,24,"1",3,"1",0.35,"3","1",4,3,"0"
"56",6,6,23,25,"1",3,"1",0.19,"3","1",2,2,"0"
"57",6,7,23,30,"1",3,"1",0.47,"3","1",8,7,"0"
"58",6,8,23,27,"1",3,"1",0.03,"3","1",5,5,"0"
"59",6,9,23,28,"1",3,"1",0.46,"3","1",9,6,"1"
"60",6,10,23,24,"1",3,"1",0.43,"3","1",9,8,"0"
"61",7,1,22,27,"1",5,"1",0.19,NA,"1",7,4,"0"
"62",7,2,22,22,"1",5,"1",0.21,NA,"1",7,3,"0"
"63",7,3,22,22,"1",5,"1",0.52,NA,"1",7,8,"0"
"64",7,4,22,23,"1",5,"1",-0.46,NA,"1",8,6,"1"
"65",7,5,22,24,"1",5,"1",-0.27,NA,"1",5,6,"0"
"66",7,6,22,25,"1",5,"1",0.59,NA,"1",5,5,"0"
"67",7,7,22,30,"1",5,"1",0.31,NA,"1",8,7,"0"
"68",7,8,22,27,"1",5,"1",0.08,NA,"1",5,7,"0"
"69",7,9,22,28,"1",5,"1",-0.34,NA,"1",6,6,"1"
"70",7,10,22,24,"1",5,"1",-0.16,NA,"1",7,5,"0"
"71",8,1,25,27,"1",5,"1",-0.03,NA,"1",4,5,"0"
"72",8,2,25,22,"1",5,"1",-0.11,NA,"1",8,7,"1"
"73",8,3,25,22,"1",5,"1",0.42,NA,"1",5,5,"1"
